category_priority,category_title,category_slug,category_legacy_titles,category_description,situation_priority,situation_title,situation_slug,situation_short_description
3,"Военная служба, мобилизация и СВО",voennaya-sluzhba-mobilizaciya-i-svo,Воинский учёт,"Контракт, мобилизация, призыв, ВВК, рапорты, увольнение, отпуск, выплаты, ранения и права семьи военнослужащего.",16,Военная ипотека,voennaya-ipoteka,"Что делать, если ваша ситуация связана с темой: военная ипотека."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",1,Увольнение,uvolnenie,"Что делать, если ваша ситуация связана с темой: увольнение."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",2,Сокращение,sokrashchenie,"Что делать, если ваша ситуация связана с темой: сокращение."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",3,Невыплата зарплаты,nevyplata-zarplaty,"Что делать, если ваша ситуация связана с темой: невыплата зарплаты."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",4,Работа без трудового договора,rabota-bez-trudovogo-dogovora,"Что делать, если ваша ситуация связана с темой: работа без трудового договора."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",5,Больничный,bolnichnyy,"Что делать, если ваша ситуация связана с темой: больничный."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",6,Декрет,dekret,"Что делать, если ваша ситуация связана с темой: декрет."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",7,Отпуск,otpusk,"Что делать, если ваша ситуация связана с темой: отпуск."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",8,Материальная ответственность,materialnaya-otvetstvennost,"Что делать, если ваша ситуация связана с темой: материальная ответственность."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",9,Травма на работе,travma-na-rabote,"Что делать, если ваша ситуация связана с темой: травма на работе."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",10,Дискриминация и конфликт с работодателем,diskriminaciya-i-konflikt-s-rabotodatelem,"Что делать, если ваша ситуация связана с темой: дискриминация и конфликт с работодателем."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",11,Дистанционная работа,distancionnaya-rabota,"Что делать, если ваша ситуация связана с темой: дистанционная работа."
4,"Работа, зарплата и трудовые права",rabota-zarplata-i-trudovye-prava,Работа,"Увольнение, сокращение, зарплата, больничный, декрет, отпуск, работа без договора и конфликты с работодателем.",12,Самозанятый и трудовые отношения,samozanyatyy-i-trudovye-otnosheniya,"Что делать, если ваша ситуация связана с темой: самозанятый и трудовые отношения."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",1,Судебный приказ,sudebnyy-prikaz,"Что делать, если ваша ситуация связана с темой: судебный приказ."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",2,Исполнительное производство,ispolnitelnoe-proizvodstvo,"Что делать, если ваша ситуация связана с темой: исполнительное производство."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",3,Арест карты или счёта,arest-karty-ili-scheta,"Что делать, если ваша ситуация связана с темой: арест карты или счёта."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",4,Списание денег приставами,spisanie-deneg-pristavami,"Что делать, если ваша ситуация связана с темой: списание денег приставами."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",5,Сохранение прожиточного минимума,sohranenie-prozhitochnogo-minimuma,"Что делать, если ваша ситуация связана с темой: сохранение прожиточного минимума."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",6,Коллекторы,kollektory,"Что делать, если ваша ситуация связана с темой: коллекторы."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",7,Микрозаймы,mikrozaymy,"Что делать, если ваша ситуация связана с темой: микрозаймы."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",8,Кредит,kredit,"Что делать, если ваша ситуация связана с темой: кредит."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",9,Ипотечный долг,ipotechnyy-dolg,"Что делать, если ваша ситуация связана с темой: ипотечный долг."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",10,Банкротство физического лица,bankrotstvo-fizicheskogo-lica,"Что делать, если ваша ситуация связана с темой: банкротство физического лица."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",11,Чужой долг,chuzhoy-dolg,"Что делать, если ваша ситуация связана с темой: чужой долг."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",12,Ошибочное взыскание,oshibochnoe-vzyskanie,"Что делать, если ваша ситуация связана с темой: ошибочное взыскание."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",13,Долги по ЖКХ,dolgi-po-zhkh,"Что делать, если ваша ситуация связана с темой: долги по жкх."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",14,Долги по алиментам,dolgi-po-alimentam,"Что делать, если ваша ситуация связана с темой: долги по алиментам."
5,"Долги, кредиты и приставы",dolgi-kredity-i-pristavy,Долги и кредиты; Приставы,"Кредиты, микрозаймы, судебные приказы, приставы, аресты карт, списания, коллекторы и банкротство.",15,Запрет на выезд,zapret-na-vyezd,"Что делать, если ваша ситуация связана с темой: запрет на выезд."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",1,Регистрация иностранца,registraciya-inostranca,"Что делать, если ваша ситуация связана с темой: регистрация иностранца."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",2,Миграционный учёт,migracionnyy-uchet,"Что делать, если ваша ситуация связана с темой: миграционный учёт."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",3,РВП,rvp,"Что делать, если ваша ситуация связана с темой: рвп."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",4,ВНЖ,vnzh,"Что делать, если ваша ситуация связана с темой: внж."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",5,Гражданство РФ,grazhdanstvo-rf,"Что делать, если ваша ситуация связана с темой: гражданство рф."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",6,Патент на работу,patent-na-rabotu,"Что делать, если ваша ситуация связана с темой: патент на работу."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",7,Разрешение на работу,razreshenie-na-rabotu,"Что делать, если ваша ситуация связана с темой: разрешение на работу."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",8,Учёба иностранного студента,ucheba-inostrannogo-studenta,"Что делать, если ваша ситуация связана с темой: учёба иностранного студента."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",9,Виза,viza,"Что делать, если ваша ситуация связана с темой: виза."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",10,Депортация,deportaciya,"Что делать, если ваша ситуация связана с темой: депортация."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",11,Выдворение,vydvorenie,"Что делать, если ваша ситуация связана с темой: выдворение."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",12,Запрет на въезд,zapret-na-vezd,"Что делать, если ваша ситуация связана с темой: запрет на въезд."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",13,Реестр контролируемых лиц,reestr-kontroliruemyh-lic,"Что делать, если ваша ситуация связана с темой: реестр контролируемых лиц."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",14,Брак с иностранцем,brak-s-inostrancem,"Что делать, если ваша ситуация связана с темой: брак с иностранцем."
6,"Миграция, гражданство и въезд в РФ",migraciya-grazhdanstvo-i-vezd-v-rf,Миграция,"Регистрация иностранцев, миграционный учёт, РВП, ВНЖ, гражданство, патент, виза, депортация и запрет на въезд.",15,Документы ребёнка-иностранца,dokumenty-rebenka-inostranca,"Что делать, если ваша ситуация связана с темой: документы ребёнка-иностранца."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",1,Возврат товара,vozvrat-tovara,"Что делать, если ваша ситуация связана с темой: возврат товара."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",2,Некачественный товар,nekachestvennyy-tovar,"Что делать, если ваша ситуация связана с темой: некачественный товар."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",3,Гарантийный ремонт,garantiynyy-remont,"Что делать, если ваша ситуация связана с темой: гарантийный ремонт."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",4,Некачественная услуга,nekachestvennaya-usluga,"Что делать, если ваша ситуация связана с темой: некачественная услуга."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",5,Онлайн-покупка,onlayn-pokupka,"Что делать, если ваша ситуация связана с темой: онлайн-покупка."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",6,Маркетплейс,marketpleys,"Что делать, если ваша ситуация связана с темой: маркетплейс."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",7,Туристические услуги,turisticheskie-uslugi,"Что делать, если ваша ситуация связана с темой: туристические услуги."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",8,Медицинские услуги,medicinskie-uslugi,"Что делать, если ваша ситуация связана с темой: медицинские услуги."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",9,Образовательные услуги,obrazovatelnye-uslugi,"Что делать, если ваша ситуация связана с темой: образовательные услуги."
