ID вопроса,Раздел,Жизненная ситуация,Интент,Дополнительные темы,Длина,Фрагмент вопроса
11,"Миграция, гражданство и въезд в РФ",Общее / смешанная ситуация,Оформить/получить,"Недвижимость, жильё и земля, Документы, реестры и персональные данные",238,Добрый день. Я гражданин Украины. Мама гражданка России. Живёт в Херсонской области. Сейчас требуют оформить нашу квартиру в соответствии с законами РФ. Может ли мама ее оформить имея на руках доверенность от меня? Я сейчас проживаю в РБ.
12,"Семья, дети и отношения",Общение с ребёнком и место жительства,Документы и сроки,"Суды, иски и защита прав, Работа, зарплата и трудовые права, Потребители, покупки и услуги",576,"Всем доброго времени суток. Судья вынес приговор, что бывший муж должен приезжать к ребенку и видеться в моем присутствии до 2-х лет. График общения: 2 и 4 суббота месяца с 10 утра до 18 вечера. Какие доказательства мне собирать, чтобы бывший муж как можно дольше не забирал ребенка? Он по факту не знает, что ухаживать, кормить и одевать ребенка. Есть скины из переписок, где он пишет, что это была моя обязанность и он этого не делал. А какие у меня есть гарантии, что сейчас он все умеет и знает. Хочу выйти в суд с продлением срока и вот последняя переписка с бывшем мужем"
13,"Военная служба, мобилизация и СВО","Отсрочка, призыв и категория годности",Проверить право/законность,,184,Можно ли поменять категорию годности с диагназом сколеоз 1 степени. пласкоступие 2 степени. с металическими корструкциями в голени. на ВВК ставят А. можно ли уволиться с военой службы?
14,"Потребители, покупки и услуги","Ремонт, подряд и бытовые услуги",Проверить право/законность,"Медицина, лечение и ОМС, Документы, реестры и персональные данные, Недвижимость, жильё и земля",979,"Имеет ли право сотрудник поликлиники отказать в прикреплении из-за отсутствия полиса в базе, если на руках у меня был электронный документ с портала Госуслуги? Я пришла в поликлинику по месту временной регистрации с просьбой прикрепить меня. Сначала меня попросили сменить иногородний полис на московский, я приняла к сведению информацию, дома через госуслуги оформила заявление. Его обрабатывали день, следующим утром пришло уведомление, что услуга оказана, а в профиле появился новый полис с московской страховой. Я снова пошла в больницу, у меня потребовали СНИЛС, паспорт, временную регистрацию и полис. Я предоставила все документы, но полис был в электронном виде, по этой причине мне резко ..."
15,"Потребители, покупки и услуги","Ремонт, подряд и бытовые услуги",Взыскать/вернуть деньги,"Долги, кредиты, банки и приставы, Суды, иски и защита прав, Документы, реестры и персональные данные",347,"[контакт скрыт платформой] г вступило в силу решение суда по частичному возврату и компенсации денежных средств по договору на оказание услуг (я кредитор физ лицо). [контакт скрыт платформой] компания признана банкротом. Нужно ли мне встать в реестр кредиторов, если да, какой порядок. Если нет, что мне нужно предпринять чтобы про меня не забыли?"
16,"Работа, зарплата и трудовые права","Увольнение, сокращение и восстановление","Понять, что делать","Соцподдержка, пенсии, инвалидность и льготы, Авто, ДТП, штрафы и транспорт, Семья, дети и отношения",879,"Здравствуйте. На работе хотят сократить, меня и еще 4 человек. Я работаю официально у частника ИП, повод для увольнения мало отшиваю ( швея ), увольняться я не хочу. Так как я единственный кормилец в семье дочь 15 лет школьница, и муж инвалид 3 группы ( но работать ему тяжело, хоть группа и рабочая, у него чмт сбил автомобиль и плюс пару лет назад пересен инфаркт, в данный момент хроническая ишемическая болезнь сердца, с большими рисками сердце работает не в полную силу). Увольняться не хочу, так как с работой тяжело, тут мне работать очень нравится, я единственный кормилец в семье, на мне муж и дочь. Мужу лекарства только обходятся больше 5 тысяч ежемесячно, а пенсия 15 тыс. Как быть теп..."
17,"Военная служба, мобилизация и СВО","Контракт, служба и увольнение","Понять, что делать","Недвижимость, жильё и земля, Долги, кредиты, банки и приставы",267,"Здравствуйте. Уважаемые юристы, я дочь погибшего участника СВО, обратилась в Сбербанк с заявлением о списании кредита, на что получила отказ, в связи с тем что кредит был взят после подписания контракта. Может ли Сбербанк отказать в списании? Если нет, то что делать?"
18,"Потребители, покупки и услуги",Онлайн-курсы и образовательные услуги,Взыскать/вернуть деньги,"Военная служба, мобилизация и СВО, Долги, кредиты, банки и приставы, Образование, школа и вуз",773,"Здравствуйте, я покупал курс на платформе skillbox во время учебы в 2023году прошел его на 8 процентов. Затем перестал учиться, занимался основной учебой, далее диплом и осенью армия. Пришел я осенью 25 года, сейчас так как я брал рассрочку на это обучение, у меня уже имеется задолженность, пока я находился в армии она появилась. Я позвонил оператору, мне сказали что сумма не использованного курса стоит 113000 рублей, изначально он стоил в районе 123 000р Прошло уже больше года у меня отключили обратную связь при прохождении курса и в целом я понял что он мне не подходит, мне сказали, что я могу рассчитывать лишь на новый курс по остатку в 113000р Вопрос, могу ли я вернуть деньги за курс,..."
19,"Миграция, гражданство и въезд в РФ",Регистрация и сроки пребывания,Документы и сроки,,347,"Здравствуйте, в 2025 году я учился но при этом не продлевал миграционную карту а пересекал границу каждый 90 дней по истечении миграционной карты сейчас в 2026 январе пересек границу и могу ли я поставить штамп и продлит миграционную карту на основании учебы? Какие претензии могут быть иза того что в 2025 ни разу не продлевал миграционную карту?"
20,"Авто, ДТП, штрафы и транспорт","Штрафы, ПДД и лишение прав",Подать заявление/иск/жалобу,"Суды, иски и защита прав",466,"Контролеры выписали мне штраф в автобусе [контакт скрыт платформой] года. Как я понимаю, 10-дневный срок на обжалование начался на следующий день, то есть 19 февраля. Я подала жалобу в ГУП Мосгортранс, ответа еще не было. Нужно ли мне обжаловать штраф в суд именно в эти 10 дней, по моим подсчетам они истекают завтра, 28 февраля. Или я могу после ответа на мою жалобу, обратиться с исковым заявлением в суд? Подскажите как лучше поступить? Заранее спасибо за ответ!"
21,"Семья, дети и отношения",Алименты и содержание детей,Подать заявление/иск/жалобу,"Военная служба, мобилизация и СВО, Суды, иски и защита прав",260,"Отец ребёнка подал иск об уменьшении размера алиментов, оказалось, что у него есть старшая дочь. Суд иск не удовлетворил. Истец подписал контракт. Что может иметь ребёнок, если отец находится в зоне СВО по контракту? В браке не были, вместе давно не проживаем."
22,"Недвижимость, жильё и земля","Регистрация, прописка и выселение","Понять, что делать","Работа, зарплата и трудовые права, Долги, кредиты, банки и приставы",220,"Что делать если растет задолжности по жкх если мы не проживаем по месту прописки более 10 лет? Так же насчитывается за электроэнергию ( хотя электричество отключил службами)и водоснабжением не пользуемся (счётчиков нет),"
23,"Недвижимость, жильё и земля","Ипотека, новостройки и долевое строительство",Оценить риски сделки/действия,"Работа, зарплата и трудовые права",184,"Планируется сдача квартиры в аренду. Какие риски при сдаче квартиры, находящейся в ипотеке сотруднику ФСО, который отчитывается по чекам в ФСО, с предоставлением копии договора аренды?"
24,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,Проверить право/законность,"Работа, зарплата и трудовые права, Соцподдержка, пенсии, инвалидность и льготы, Суды, иски и защита прав",233,"Добрый день! В организацию поступил исполнительный лист после выплаты аванса. Нужно удерживать с общего дохода или только со второй части заработной платы? Если удержано с общего дохода, какое наказание грозит, если это неправомерно?"
25,"Работа, зарплата и трудовые права","Увольнение, сокращение и восстановление",Проверить право/законность,"Военная служба, мобилизация и СВО",256,"Провели хронометраж рабочего времени. На основании этого создан приказ о сокращении части ставки. Работнику нужно выдать уведомлен е за 2 месяца. Поясните, пожалуйста, законно ли это. Как работник может отстоять сохранение его на работе на прежних условиях"
26,"Работа, зарплата и трудовые права","Трудовой договор, график и обязанности","Понять, что делать",,376,"Что делать, если я пошла в 16 лет работать в ресторане помощником официанта, оплата смены на вакансии отмечена 1500. отработала 1 день с 10: 30 до 00: 30 примерно и решила, что больше не буду работать, и спросила оплатят ли мне день, на что ответили, что нет, потому что я на следующий день не вышла на работу, мне это засчитали как стажировку и не хотят оплачивать, то делать"
27,"Семья, дети и отношения","Брак, ЗАГС и личные отношения",Оформить/получить,"Миграция, гражданство и въезд в РФ",315,"Добрый день! скажите пожалуйста муж гражданин республики Таджикистан. В браке с 2023 года. В браке родился ребенок. Может ли супруг получить ВНЖ? были просрочены документы, подали ксерокопии для основания находиться на территории РФ. После подала на расторжение брака. Это не влияет на получение супруга документов?"
28,"Авто, ДТП, штрафы и транспорт","ДТП, ОСАГО и возмещение ущерба",Взыскать/вернуть деньги,,90,Как возместить ущерб за заправку на АЗС. если я оплатил бензин а заправился другой человек
29,"Образование, школа и вуз","Стипендии, отчисление и академический отпуск",Оформить/получить,"Семья, дети и отношения, Работа, зарплата и трудовые права, Наследство, завещание и дарение",302,"Здравствуйте! Могу ли я получить государственную социальную помощь и стипендию? я являюсь студенткой 1 курса ВУЗа города Омска (СИБАДИ) Учусь на 4 и 5, на очном отделении Проживаю с родителями, не замужем, не работаю нужны ли будут справки о доходах родителей или достаточно только справки о стипендии?"
30,"Работа, зарплата и трудовые права","Зарплата, премии и индексация",Проверить право/законность,"Долги, кредиты, банки и приставы, Авто, ДТП, штрафы и транспорт, Суды, иски и защита прав",1511,"Здравствуйте. Новое руководство, эх. Несколько вопросов. 1. Если 2 руководителя в общем чате делают замечания за какой-то проступок в хамском тоне одному сотруднику, но другим сотрудникам за то же самое не выговаривают, можно ли это считать травлей и как лучше поступить? 2. На мой резонный вопрос - почему только ко мне претензии, тем более в общем чате, руководительница ответила, что ""все увидят в свою зарплату, к кому есть претензии"". У нас вся зарплата белая. Премия 20% от зп. Объяснительные я не писала, дисциплинарных взысканий не было. Что они могут сделать? И что делать мне, если премиальная часть будет меньше? 3. Имеют ли руководители именно требовать приходить раньше на 15 минут (в..."
31,"Соцподдержка, пенсии, инвалидность и льготы",Общее / смешанная ситуация,Взыскать/вернуть деньги,"Суды, иски и защита прав",173,"Ущерб был причинен по неосторожности, виновник готов выплатить деньги без судов. Как виновник может обезопасить себя от того, что на него подадут в суд после выплаты ущерба?"
32,"Недвижимость, жильё и земля",Аренда жилья и споры с арендодателем,Документы и сроки,,570,"Вопрос такой, арендуем помещение в котором есть проходная дверь к соседям но она заклеена с нашей стороны, с той стороны находится собственник помещения своего, мое помещение административное. Счетчики того собственника находятся в моем помещении и сосед требует доступ к ним через эту заклеенную дверь в любое ему придуманное время, может ворваться когда ему вздумается. На просьбы перенести счетчики себе не реагирует, предлагали согласовывать время когда нужно зайти и заходить через обычный вход, а не через эту дверь- не хочет. Как можно повлиять на этого человека?"
33,"Долги, кредиты, банки и приставы","Кредиты, займы и МФО","Понять, что делать",,281,"Здравствуйте, если кредит был взят в браке о котором ч не знала и был потрачен на личные нужды о которых я не знала. Могу ли я добровольно заключить брачный раздел или договор, или что еще можно сделать в этой ситуации но чтоб обязательства так и остались за тем человеком кто брал"
34,"Семья, дети и отношения","Опека, попечительство и несовершеннолетние",Документы и сроки,"Военная служба, мобилизация и СВО, Соцподдержка, пенсии, инвалидность и льготы",190,"Добрый день! Мой отец погиб на СВО. На момент гибели был не женат, родителей нет. От второго брака есть двое несовершеннолетних детей. Могу ли претендовать на какие-либо выплаты? Мне 27 лет."
35,"Работа, зарплата и трудовые права","Отпуск, больничный, декрет","Понять, что делать",,210,"После продолжительного больничного сотрудник вышел на работу, но на его место уже приняли другого человека и сообщили, что работы больше нет. Нужно понять, какие действия доступны и как защитить трудовые права."
36,"Соцподдержка, пенсии, инвалидность и льготы",Общее / смешанная ситуация,Документы и сроки,,50,Как вернуть выплаты переболевшим ковидом в 2022 г.
37,"Долги, кредиты, банки и приставы",Коллекторы и взыскание долгов,Проверить право/законность,"Потребители, покупки и услуги",1354,"Здравствуйте! Хотелось бы узнать про перерасчет по горячей воде. С марта 2025 года счет по горячей воде начислялся по среднему, так как сроки проверки счетчиков прошли и он считался неисправным (так сказали в ук), при это я подавала каждый месяц показания, но они не учитывались. Платила онлайн весь счет по квартплате сразу всю сумму и не обращала внимание, что что-то не так по воде начисляется. В мае 2026 года решили просто заменить счетчики на новые, тк старые запотели, мы переживали, что могут быть протечки или иные проблемы с ними. Вызвали мастера, составили акт. В июне этого года пришла квитанция с долгом по горячей воде 8637 руб. Это объяснилось тем, что конечные показатели старых сч..."
38,"Военная служба, мобилизация и СВО",Гибель военнослужащего и права семьи,Взыскать/вернуть деньги,"Долги, кредиты, банки и приставы, Соцподдержка, пенсии, инвалидность и льготы, Суды, иски и защита прав",240,"Положена ли какая-то выплата сестре погибшего на СВО, если незадолго до боевого задания погибший расписался с женщиной. Или она на всех основаниях имеет полное право данную выплату ни с кем не делить и через суд ничего нельзя будет взыскать"
39,"Семья, дети и отношения","Брак, ЗАГС и личные отношения",Документы и сроки,"Недвижимость, жильё и земля",300,"Ситуация такая была куплена квартира давно, а сейчас при продаже квартиры выяснилось что в квартире прописан муж бывшей собственницы квартиры Квартира давно принадлежит другому человеку. Как выписать этого человека, человек в возрасте и вообще не понятно жив или нет он. И конечно же не знаем где он."
40,"Недвижимость, жильё и земля","Регистрация, прописка и выселение","Понять, что делать","Бизнес, ИП, самозанятость и налоги",354,"Скажите пожалуйста могу ли я продать квартиру, чтобы не платить налог с продаж, если квартира была приватизированна на 3 членов семьи по 1/3, при этом одна часть принадлежит мне уже 20 лет, я в ней прописанна, а остальные доли мне перешли в дар только сейчас? Я могу продать эту квартиру сразу или всё таки придётся ждать 3года, чтобы продать без налога?"
41,"Недвижимость, жильё и земля","Доли, собственность и права жильцов",Проверить право/законность,"Долги, кредиты, банки и приставы",196,"Могу ли я отказаться от доли в квартире с долгами? Или возможно ли как-то запросить перерасчет только за те года после наступления совершеннолетия (2 года), за которые я сама была обязана платить?"
42,Прочее / требует ручной разметки,Общее / смешанная ситуация,Оформить/получить,,67,Как получить компенсацию если начальство резко попросило уволиться?
43,Прочее / требует ручной разметки,Общее / смешанная ситуация,Документы и сроки,,121,Какой процент от суммы обычно берут юристы при выигрыше дела о защите прав потребителей в Москве и как он рассчитывается?
44,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,Подать заявление/иск/жалобу,"Семья, дети и отношения, Работа, зарплата и трудовые права, Потребители, покупки и услуги",806,"Здравствуйте. Мною на имя начальника подано заявление в котором, прошу проверить дополнительный доход должника (источник) прилагая факты вызвать на допрос должника, когда им будет погашена задолжность. Пришло уведомление по госуслугам, так как обращение подано таким способом. Что должен издать по закону пристав, получив заявление от взыскателя на действия? В этом уведомлении строка приобщено к материалам ИП, услуга оказана получается или как. Куда и на основании чего жаловаться чтобы пристав действовал, а не отписывался. Подано еще заявление приставу на арест, изъятие и реализацию имущества должника, автомобиля за долг по алиментам - ответ такой же - приобщено к материалам дела. Если писа..."
45,"Потребители, покупки и услуги","Товар, гарантия и маркетплейсы",Проверить право/законность,"Работа, зарплата и трудовые права, Долги, кредиты, банки и приставы, Уголовные вопросы, полиция и безопасность",697,"Здравствуйте. Закзаали два телефона и часы в магазине. Оплату попросили сразу. Товары должны были прийти 30 декабря 2025 года. По итогу долго ждали. Товаров не было, было принято отказываться от товаров. Каждый раз нам компания говорит о том что деньги отправили еще 19 января 2026 года. Потом каждый день новые отговорки, каждый день завтра, завтра. И до сих пор денег нет. Отвечают редко. В рабочее время трубку не берут, а в не рабочее берут, но говорят звонить в рабочее время. И так каждый день по кругу. Заявление в полиции уже есть. Что еще можно сделать, можно ли написать самим досудебную претензию? Сумма заказа 188 тыс. И просить компенсацию за неустойку. Так как прошло почти 2 месяца."
46,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,Подать заявление/иск/жалобу,"Суды, иски и защита прав, Авто, ДТП, штрафы и транспорт",524,"Здравствуйте! У меня такой вопрос я брал кредит в банке 150 тыс в итоге через год или пол года попал в сизо в итоге отсидел 10 лет и еще через 2 года на свободе мне пришел старый этот долг по суду и меня во первых в известность не поставили и никого оповещения не было просто арестовали карту и снимают автоматом. Это единственный мой доход и я теперь без денег Имеют ли право и могу ли я оспорить иск о том что прошел срок исковой давности 10 лет, то что мне теперь не на что жить.??? Как правильно подать заявление о споре"
47,Прочее / требует ручной разметки,Общее / смешанная ситуация,Подать заявление/иск/жалобу,,391,"Добрый день. Вопрос: будет ли мне что-то как владельцу группы в которой были интимные видео (сделанные через нейросеть)? Мои одногруппники решили пошутить над куратором, скинули видео интимного характера сделанные через нейросеть. Куратор написала заявление, но почему то только на меня, утверждая что я владелец группы и должна была остановить это. Куратор сказала что даже хочет судиться 😂"
48,"Долги, кредиты, банки и приставы","Банковские карты, счета и удержания",Оформить/получить,"Миграция, гражданство и въезд в РФ, Семья, дети и отношения",467,"Добрый день. Я гражданка Грузии и живу в Грузии. Я хочу оформить займ на свою сестру, которая гражданка России. Как правильно оформить займ и какие еще документы нужны, чтобы банк посчитал достаточными основаниями предоставленные документы и не блокировал счета. Хотелось бы понимать какой необходимый набор документов. Заранее спасибо. Перечислять буду международными переводами, так как одним платежом и со счета на счет проблематично сейчас это сделать технически."
49,"Военная служба, мобилизация и СВО",Гибель военнослужащего и права семьи,Оформить/получить,"Наследство, завещание и дарение, Семья, дети и отношения",167,"У погибшего на СВО два наследника. Сын 18 лет, учится, внебрачный. И жена. Кто из них может получить Медаль за Отвагу? Орден Мужества жена получила сразу после гибели."
50,"Наследство, завещание и дарение",Завещание и наследники,Проверить право/законность,"Семья, дети и отношения",217,"Умирает в семье мама, у которой было двое детей, но один ребенок уже давно умер, осталась одна дочь. Но от умершего сына остался ребенок. Имеет ли он право на наследство? Будет ли он являться полноправным наследником?"
